Episode,Map,Size,Agents,Density,Reward,Moving Cost,Detour Percentage,Average Loss,Average Epsilon,Success
0,map_0,32,2,0.1,-2.299999999999999,0.0,0.0,0.0020732074772240594,0.9954100000000012,0
1,map_0,32,2,0.1,-2.2,0.0,0.0,0.00041873546894445705,0.9855100000000033,0
2,map_0,32,2,0.1,-2.8999999999999972,0.0,0.0,0.00012414358331755337,0.973810000000006,0
3,map_0,32,2,0.1,-2.9999999999999964,0.0,0.0,6.197896273079096e-05,0.9603100000000092,0
4,map_0,32,2,0.1,-2.999999999999994,0.0,0.0,9.00706777328095e-05,0.9450100000000129,0
5,map_0,32,2,0.1,-3.399999999999995,0.0,0.0,0.000174543619978067,0.9279100000000162,0
6,map_0,32,2,0.1,-3.9999999999999885,0.0,0.0,0.0001222327559100284,0.9090100000000212,0
7,map_0,32,2,0.1,-3.7999999999999883,0.0,0.0,0.0001007553798748025,0.8883100000000259,0
8,map_0,32,2,0.1,-4.499999999999989,0.0,0.0,9.537152428282963e-05,0.8658100000000316,0
9,map_0,32,2,0.1,-5.099999999999991,0.0,0.0,8.875962761781661e-05,0.8415100000000368,0
0,map_1,32,2,0.3,-2.699999999999998,0.0,0.0,0.001468222375260666,0.9954100000000012,0
1,map_1,32,2,0.3,-3.1999999999999993,0.0,0.0,0.001062113675288856,0.9855100000000033,0
2,map_1,32,2,0.3,-3.4999999999999973,0.0,0.0,0.00031153981638323917,0.973810000000006,0
3,map_1,32,2,0.3,-4.4999999999999964,0.0,0.0,0.00020547078711388166,0.9603100000000092,0
4,map_1,32,2,0.3,-4.799999999999997,0.0,0.0,0.00024177518134820274,0.9450100000000129,0
5,map_1,32,2,0.3,-4.699999999999995,0.0,0.0,0.00023310641103307716,0.9279100000000162,0
6,map_1,32,2,0.3,-4.099999999999991,0.0,0.0,0.00016909000160839324,0.9090100000000212,0
7,map_1,32,2,0.3,-5.299999999999992,0.0,0.0,0.0001897844730289459,0.8883100000000259,0
8,map_1,32,2,0.3,-5.0999999999999925,0.0,0.0,0.0002113142639315741,0.8658100000000316,0
9,map_1,32,2,0.3,-8.5,0.0,0.0,0.00016786628891298148,0.8415100000000368,0
0,map_10,32,8,0.5,0.0,1.0,0.0,0.0,0.0,1
1,map_10,32,8,0.5,-4.299999999999996,0.0,0.0,0.002601762309980889,0.9945100000000016,0
2,map_10,32,8,0.5,-3.3999999999999955,0.0,0.0,0.0006491760118348923,0.9828100000000041,0
3,map_10,32,8,0.5,-4.8999999999999995,0.0,0.0,0.0003336878893605899,0.9693100000000078,0
4,map_10,32,8,0.5,-0.7599999999999999,4.25,325.0,0.0003650144462881144,0.9606700000000091,1
5,map_10,32,8,0.5,-5.599999999999995,0.0,0.0,0.0003420445472875144,0.9502300000000113,0
6,map_10,32,8,0.5,-0.44,5.0,400.0,0.0002459464412822854,0.9408700000000139,1
7,map_10,32,8,0.5,-8.000000000000002,0.0,0.0,0.0001881703854451189,0.9297100000000161,0
8,map_10,32,8,0.5,-2.779999999999999,19.5,1850.0,0.00016829272231246394,0.9154900000000197,1
9,map_10,32,8,0.5,-0.01999999999999999,1.5,50.0,0.0003182255895808339,0.9118900000000205,1
0,map_11,32,8,0.7,-3.659999999999998,23.5,2250.0,0.0010470009969456282,0.9957700000000014,1
1,map_11,32,8,0.7,-0.33,4.0,300.0,0.0011859371249253552,0.991360000000002,1
2,map_11,32,8,0.7,-0.13,2.0,100.0,0.00156864442396909,0.9908200000000021,1
3,map_11,32,8,0.7,-0.22,3.0,200.0,0.0013802061439491808,0.9903700000000022,1
4,map_11,32,8,0.7,-0.33,4.0,300.0,0.0010686694683196645,0.9899200000000024,1
5,map_11,32,8,0.7,-0.01999999999999999,1.5,50.0,0.0016512081492692232,0.9894700000000025,1
6,map_11,32,8,0.7,-0.45999999999999996,7.0,600.0,0.0014069824052664142,0.9887500000000026,1
7,map_11,32,8,0.7,-0.11,2.0,100.0,0.0014137917896732688,0.9881200000000028,1
8,map_11,32,8,0.7,-0.13,4.0,300.0,0.0012519063893705606,0.9877600000000029,1
9,map_11,32,8,0.7,-2.5699999999999994,28.0,2700.0,0.0010088070412166417,0.9850600000000036,1
0,map_12,32,16,0.1,-2.8999999999999977,0.0,0.0,0.0026233973505441098,0.9954100000000012,0
1,map_12,32,16,0.1,-2.499999999999997,0.0,0.0,0.0006130168621893972,0.9855100000000033,0
2,map_12,32,16,0.1,-2.1000000000000005,0.0,0.0,8.021026504658428e-05,0.973810000000006,0
3,map_12,32,16,0.1,-2.399999999999998,0.0,0.0,0.00023301543405978008,0.9603100000000092,0
4,map_12,32,16,0.1,-3.099999999999993,0.0,0.0,0.0002848629395884927,0.9450100000000129,0
5,map_12,32,16,0.1,-3.0999999999999934,0.0,0.0,0.00037248237847961716,0.9279100000000162,0
6,map_12,32,16,0.1,-4.299999999999993,0.0,0.0,0.00014366187937081453,0.9090100000000212,0
7,map_12,32,16,0.1,-4.3999999999999915,0.0,0.0,0.0001606570514316748,0.8883100000000259,0
8,map_12,32,16,0.1,-3.199999999999991,0.0,0.0,0.0002619608167151455,0.8658100000000316,0
9,map_12,32,16,0.1,-4.699999999999993,0.0,0.0,0.0003132765235932311,0.8415100000000368,0
0,map_13,32,16,0.3,-1.2000000000000002,0.0,0.0,0.006008218256174587,0.9954100000000012,0
1,map_13,32,16,0.3,-2.8999999999999977,0.0,0.0,0.0015031075725952783,0.9855100000000033,0
2,map_13,32,16,0.3,-0.22,3.0,200.0,0.0011473214835859835,0.9799300000000046,1
3,map_13,32,16,0.3,-0.55,6.0,500.0,0.0011568977730348705,0.9793000000000047,1
4,map_13,32,16,0.3,-4.599999999999995,0.0,0.0,0.0003490100339857034,0.9707500000000069,0
5,map_13,32,16,0.3,-5.499999999999993,0.0,0.0,0.00019629464943136555,0.9536500000000112,0
6,map_13,32,16,0.3,0.0,1.0,0.0,0.0,0.0,1
7,map_13,32,16,0.3,-4.999999999999993,0.0,0.0,0.00021409541095636088,0.9338500000000154,0
8,map_13,32,16,0.3,-9.199999999999998,0.0,0.0,0.0002885859369528659,0.911350000000021,0
9,map_13,32,16,0.3,-8.199999999999996,0.0,0.0,0.0003420518314669607,0.8870500000000261,0
0,map_14,32,16,0.5,-2.799999999999998,0.0,0.0,0.0026677010883577167,0.9954100000000012,0
1,map_14,32,16,0.5,-1.03,14.0,1300.0,0.0014725464593189268,0.9897400000000024,1
2,map_14,32,16,0.5,-1.2300000000000002,7.0,600.0,0.0014116607131794668,0.9874000000000029,1
3,map_14,32,16,0.5,-1.2900000000000003,20.0,1900.0,0.0007256142516301846,0.9845200000000037,1
4,map_14,32,16,0.5,-6.900000000000002,0.0,0.0,0.00036140860538580455,0.9747100000000055,0
5,map_14,32,16,0.5,-2.3000000000000003,15.5,1450.0,0.0003829189236663903,0.9639100000000085,1
6,map_14,32,16,0.5,0.27,1.0,0.0,0.0006647363479714841,0.9609400000000091,1
7,map_14,32,16,0.5,-0.35,6.0,500.0,0.0008947885071393102,0.9602200000000094,1
8,map_14,32,16,0.5,-8.799999999999997,0.0,0.0,0.0002266956916383396,0.948070000000012,0
9,map_14,32,16,0.5,-0.61,6.0,500.0,0.0001162359608728862,0.935380000000015,1
0,map_15,32,16,0.7,-1.5800000000000005,9.5,850.0,0.0028682239054534067,0.9982900000000003,1
1,map_15,32,16,0.7,-0.22,3.0,200.0,0.0031347626354545355,0.9964900000000008,1
2,map_15,32,16,0.7,0.0,1.0,0.0,0.0,0.0,1
3,map_15,32,16,0.7,-0.22,3.0,200.0,0.0018831266788765788,0.9961300000000008,1
4,map_15,32,16,0.7,-0.33,4.0,300.0,0.0020298718009144068,0.995680000000001,1
5,map_15,32,16,0.7,-1.6200000000000006,11.5,1050.0,0.001486212261211635,0.9934300000000015,1
6,map_15,32,16,0.7,0.0,1.0,0.0,0.0,0.0,1
7,map_15,32,16,0.7,-3.0299999999999994,34.0,3300.0,0.0008343734891351426,0.9884800000000027,1
8,map_15,32,16,0.7,-0.11,2.0,100.0,0.00021551111422013491,0.9854200000000034,1
9,map_15,32,16,0.7,-0.24,5.0,400.0,0.00019426708240644075,0.9849700000000036,1
0,map_16,64,2,0.1,-0.6000000000000002,0.0,0.0,0.005374636504129739,0.9954100000000012,0
1,map_16,64,2,0.1,-1.9000000000000008,0.0,0.0,0.006841431939392351,0.9855100000000033,0
2,map_16,64,2,0.1,-0.5,0.0,0.0,0.0005975569558878696,0.973810000000006,0
3,map_16,64,2,0.1,-1.4000000000000008,0.0,0.0,0.0007433980575115128,0.9603100000000092,0
4,map_16,64,2,0.1,-1.800000000000001,0.0,0.0,0.0007973411335519308,0.9450100000000129,0
5,map_16,64,2,0.1,-2.799999999999993,0.0,0.0,0.0005037003051256761,0.9279100000000162,0
6,map_16,64,2,0.1,-0.6700000000000008,5.2727272727272725,427.27272727272725,0.0007019994750806833,0.91378000000002,1
7,map_16,64,2,0.1,-5.799999999999994,0.0,0.0,0.0005776789507460005,0.8978500000000244,0
8,map_16,64,2,0.1,-5.699999999999994,0.0,0.0,0.0005059669023746839,0.8753500000000294,0
9,map_16,64,2,0.1,-3.2099999999999933,10.181818181818182,918.1818181818181,0.0007417891618978181,0.8536600000000345,1
0,map_17,64,2,0.3,-3.099999999999998,0.0,0.0,0.004357479233294726,0.9954100000000012,0
1,map_17,64,2,0.3,-1.4000000000000006,0.0,0.0,0.001949766243827374,0.9855100000000033,0
2,map_17,64,2,0.3,-3.2999999999999945,0.0,0.0,0.00035482402277661355,0.973810000000006,0
3,map_17,64,2,0.3,-2.3,0.0,0.0,0.0002587296662568406,0.9603100000000092,0
4,map_17,64,2,0.3,-4.499999999999995,0.0,0.0,0.00023844188852106325,0.9450100000000129,0
5,map_17,64,2,0.3,-4.499999999999995,0.0,0.0,0.0002655569655325962,0.9279100000000162,0
6,map_17,64,2,0.3,-5.299999999999993,0.0,0.0,0.00031611321749303235,0.9090100000000212,0
7,map_17,64,2,0.3,-6.799999999999997,0.0,0.0,0.000341180435619511,0.8883100000000259,0
8,map_17,64,2,0.3,-5.899999999999994,0.0,0.0,0.00036108338306523643,0.8658100000000316,0
9,map_17,64,2,0.3,-5.399999999999993,0.0,0.0,0.00043396329019742554,0.8415100000000368,0
0,map_18,64,2,0.5,-3.5999999999999988,0.0,0.0,0.005278063102159649,0.9954100000000012,0
1,map_18,64,2,0.5,-3.799999999999996,0.0,0.0,0.0006176651647062196,0.9855100000000033,0
2,map_18,64,2,0.5,-3.599999999999995,0.0,0.0,0.00027718480289747407,0.973810000000006,0
3,map_18,64,2,0.5,-4.0999999999999925,0.0,0.0,0.00028814233774028254,0.9603100000000092,0
4,map_18,64,2,0.5,-4.799999999999997,0.0,0.0,0.00013376968949564293,0.9450100000000129,0
5,map_18,64,2,0.5,-6.099999999999998,0.0,0.0,0.00016892456653295085,0.9279100000000162,0
6,map_18,64,2,0.5,-5.6999999999999975,0.0,0.0,0.00016877691341505853,0.9090100000000212,0
7,map_18,64,2,0.5,-6.499999999999997,0.0,0.0,0.0001915441171756053,0.8883100000000259,0
8,map_18,64,2,0.5,-3.9499999999999935,12.285714285714286,1128.5714285714287,0.00023366719790775438,0.8698600000000308,1
9,map_18,64,2,0.5,-4.379999999999993,24.75,1550.0,0.0002564897794010384,0.8533900000000344,1
0,map_19,64,2,0.7,-1.5100000000000005,11.0,1000.0,0.0022270962252237255,0.9980200000000006,1
1,map_19,64,2,0.7,-1.1800000000000002,6.333333333333333,533.3333333333333,0.0018249651572356622,0.9945100000000013,1
2,map_19,64,2,0.7,-1.3500000000000003,8.666666666666666,766.6666666666667,0.0012275465647689997,0.9906400000000022,1
3,map_19,64,2,0.7,-0.01999999999999999,1.5,50.0,0.0008548942860215902,0.9882100000000027,1
4,map_19,64,2,0.7,-0.59,3.3333333333333335,233.33333333333334,0.0008253335124916501,0.987220000000003,1
5,map_19,64,2,0.7,-0.9,5.5,450.0,0.0009428753081010654,0.9855100000000034,1
6,map_19,64,2,0.7,-3.6899999999999964,20.0,1900.0,0.00042297924159418284,0.979300000000005,1
7,map_19,64,2,0.7,-1.7500000000000007,8.666666666666666,766.6666666666667,0.00030505532573442905,0.9717400000000066,1
8,map_19,64,2,0.7,-0.7100000000000001,7.333333333333333,633.3333333333333,0.00021514257882483348,0.9676000000000078,1
9,map_19,64,2,0.7,-0.85,5.333333333333333,433.3333333333333,0.0001791395086911507,0.9643600000000082,1
0,map_2,32,2,0.5,-4.099999999999997,0.0,0.0,0.0013175058114575221,0.9954100000000012,0
1,map_2,32,2,0.5,-1.3200000000000003,13.0,1200.0,0.0006104240601416677,0.9898300000000023,1
2,map_2,32,2,0.5,-1.6400000000000006,6.25,525.0,0.0004385074747309166,0.9865900000000032,1
3,map_2,32,2,0.5,-4.049999999999996,19.0,1800.0,0.0003226815090359499,0.977680000000006,1
4,map_2,32,2,0.5,-0.11,2.0,100.0,0.0003538332530297339,0.9708400000000068,1
5,map_2,32,2,0.5,-6.3999999999999995,0.0,0.0,0.00020899694980471394,0.9617500000000092,0
6,map_2,32,2,0.5,0.0,1.0,0.0,0.0,0.0,1
7,map_2,32,2,0.5,-8.600000000000001,0.0,0.0,9.70522887352369e-05,0.9419500000000135,0
8,map_2,32,2,0.5,-0.16999999999999998,2.0,100.0,7.770732086750545e-05,0.9305200000000163,1
9,map_2,32,2,0.5,-0.33,4.0,300.0,7.19267094003347e-05,0.9296200000000164,1
0,map_20,64,4,0.1,-1.900000000000001,0.0,0.0,0.002011151181650348,0.9954100000000012,0
1,map_20,64,4,0.1,-2.6999999999999993,0.0,0.0,0.00038095735538566563,0.9855100000000033,0
2,map_20,64,4,0.1,-2.599999999999997,0.0,0.0,0.00013893694423521602,0.973810000000006,0
3,map_20,64,4,0.1,-3.099999999999998,0.0,0.0,0.00017386649014952126,0.9603100000000092,0
4,map_20,64,4,0.1,-2.199999999999997,0.0,0.0,0.0004339627480779503,0.9450100000000129,0
5,map_20,64,4,0.1,-3.499999999999995,0.0,0.0,0.00029527444174163973,0.9279100000000162,0
6,map_20,64,4,0.1,-3.799999999999996,0.0,0.0,0.00017256642286983233,0.9090100000000212,0
7,map_20,64,4,0.1,-3.7999999999999887,0.0,0.0,0.0002262532404832503,0.8883100000000259,0
8,map_20,64,4,0.1,-3.0999999999999934,0.0,0.0,0.0002845803054067521,0.8658100000000316,0
9,map_20,64,4,0.1,-4.899999999999988,0.0,0.0,0.00020238004817656473,0.8415100000000368,0
0,map_21,64,4,0.3,-2.4,0.0,0.0,0.001845489131519571,0.9954100000000012,0
1,map_21,64,4,0.3,-2.2,0.0,0.0,0.0006266506725902825,0.9855100000000033,0
2,map_21,64,4,0.3,-3.4999999999999947,0.0,0.0,0.000189576133457844,0.973810000000006,0
3,map_21,64,4,0.3,-4.299999999999995,0.0,0.0,0.00022283776215772377,0.9603100000000092,0
4,map_21,64,4,0.3,-4.799999999999995,0.0,0.0,0.00020606683736130234,0.9450100000000129,0
5,map_21,64,4,0.3,-5.399999999999995,0.0,0.0,0.00016291443425870967,0.9279100000000162,0
6,map_21,64,4,0.3,-5.799999999999996,0.0,0.0,0.00019405220657724633,0.9090100000000212,0
7,map_21,64,4,0.3,-5.199999999999997,0.0,0.0,0.0002468487845059523,0.8883100000000259,0
8,map_21,64,4,0.3,-6.2999999999999945,0.0,0.0,0.00018629367086060275,0.8658100000000316,0
9,map_21,64,4,0.3,-5.799999999999991,0.0,0.0,0.00019882434545641963,0.8415100000000368,0
0,map_22,64,4,0.5,-2.9999999999999973,0.0,0.0,0.004198333739768714,0.9954100000000012,0
1,map_22,64,4,0.5,-3.0999999999999974,0.0,0.0,0.00038816400192445146,0.9855100000000033,0
2,map_22,64,4,0.5,-4.499999999999998,0.0,0.0,0.00017692534337194438,0.973810000000006,0
3,map_22,64,4,0.5,-4.4999999999999964,0.0,0.0,0.0001910888383463316,0.9603100000000092,0
4,map_22,64,4,0.5,-6.000000000000001,0.0,0.0,0.0001815856184596972,0.9450100000000129,0
5,map_22,64,4,0.5,-6.300000000000001,0.0,0.0,0.0001350382973032538,0.9279100000000162,0
6,map_22,64,4,0.5,-5.9999999999999964,0.0,0.0,0.00017411879360390066,0.9090100000000212,0
7,map_22,64,4,0.5,-6.199999999999994,0.0,0.0,0.00028517628112846675,0.8883100000000259,0
8,map_22,64,4,0.5,-7.1,0.0,0.0,0.00017859736074639772,0.8658100000000316,0
9,map_22,64,4,0.5,-3.9699999999999944,12.571428571428571,1157.142857142857,0.00023898482230698005,0.8462800000000358,1
0,map_23,64,4,0.7,-0.27999999999999997,3.0,200.0,0.01328298874432221,0.9991900000000001,1
1,map_23,64,4,0.7,-0.41,4.0,300.0,0.005689163692295551,0.9974800000000006,1
2,map_23,64,4,0.7,-4.899999999999999,0.0,0.0,0.001251961239488862,0.9901900000000025,0
3,map_23,64,4,0.7,-0.24,5.0,400.0,0.0006926399655640125,0.9835300000000039,1
4,map_23,64,4,0.7,-0.35,3.0,200.0,0.000775989075191319,0.982720000000004,1
5,map_23,64,4,0.7,-0.35,3.0,200.0,0.0005478261911775917,0.9818200000000044,1
6,map_23,64,4,0.7,-2.29,13.333333333333334,1233.3333333333335,0.0005155490630736145,0.9778600000000052,1
7,map_23,64,4,0.7,-1.0,7.0,600.0,0.00032390420092269777,0.9725500000000062,1
8,map_23,64,4,0.7,-0.7,11.0,1000.0,0.0003178701954311691,0.969850000000007,1
9,map_23,64,4,0.7,-3.0299999999999994,17.0,1600.0,0.00019475759847520032,0.9659800000000079,1
0,map_24,64,8,0.1,-2.3,0.0,0.0,0.0020191494996106485,0.9954100000000012,0
1,map_24,64,8,0.1,-2.399999999999999,0.0,0.0,0.000600131148530636,0.9855100000000033,0
2,map_24,64,8,0.1,-2.299999999999999,0.0,0.0,0.0001637241847804814,0.973810000000006,0
3,map_24,64,8,0.1,-2.3999999999999972,0.0,0.0,6.507765510832542e-05,0.9603100000000092,0
4,map_24,64,8,0.1,-3.099999999999992,0.0,0.0,0.00011359559258481669,0.9450100000000129,0
5,map_24,64,8,0.1,-3.5999999999999943,0.0,0.0,0.000221454022321268,0.9279100000000162,0
6,map_24,64,8,0.1,-3.599999999999994,0.0,0.0,0.00020039612129701048,0.9090100000000212,0
7,map_24,64,8,0.1,-2.799999999999995,0.0,0.0,0.000346298239492171,0.8883100000000259,0
8,map_24,64,8,0.1,-4.199999999999991,0.0,0.0,0.00016779044965985052,0.8658100000000316,0
9,map_24,64,8,0.1,-4.399999999999984,0.0,0.0,0.00014736878856638213,0.8415100000000368,0
0,map_25,64,8,0.3,-2.2999999999999994,0.0,0.0,0.0019746248833325806,0.9954100000000012,0
1,map_25,64,8,0.3,-1.6000000000000005,0.0,0.0,0.0010724016353681994,0.9855100000000033,0
2,map_25,64,8,0.3,-2.7999999999999985,0.0,0.0,0.00043142029462615026,0.973810000000006,0
3,map_25,64,8,0.3,-3.499999999999996,0.0,0.0,0.0002499228429769573,0.9603100000000092,0
4,map_25,64,8,0.3,-4.999999999999996,0.0,0.0,0.0002652887311544166,0.9450100000000129,0
5,map_25,64,8,0.3,-4.799999999999993,0.0,0.0,0.00020858224146650173,0.9279100000000162,0
6,map_25,64,8,0.3,-5.599999999999995,0.0,0.0,0.0002646145230259704,0.9090100000000212,0
7,map_25,64,8,0.3,-5.299999999999993,0.0,0.0,0.0005161946415682906,0.8883100000000259,0
8,map_25,64,8,0.3,-4.49999999999999,0.0,0.0,0.00039800141418639285,0.8658100000000316,0
9,map_25,64,8,0.3,-4.999999999999991,0.0,0.0,0.00034562177430156487,0.8415100000000368,0
0,map_26,64,8,0.5,-3.299999999999999,0.0,0.0,0.0025129980710335074,0.9954100000000012,0
1,map_26,64,8,0.5,-3.699999999999998,0.0,0.0,0.0006339033706656967,0.9855100000000033,0
2,map_26,64,8,0.5,-3.339999999999998,7.857142857142857,685.7142857142857,0.00028859399255317704,0.9752500000000057,1
3,map_26,64,8,0.5,-3.7999999999999963,0.0,0.0,0.0002405355966402567,0.9631900000000091,0
4,map_26,64,8,0.5,-4.7999999999999945,0.0,0.0,0.00025405188328780546,0.9478900000000123,0
5,map_26,64,8,0.5,-5.799999999999996,0.0,0.0,0.00035576530266553165,0.9307900000000167,0
6,map_26,64,8,0.5,-4.7099999999999955,14.571428571428571,1357.142857142857,0.0003230870100709905,0.9127000000000197,1
7,map_26,64,8,0.5,-5.199999999999992,0.0,0.0,0.0003143668630097333,0.8928100000000249,0
8,map_26,64,8,0.5,-7.799999999999999,0.0,0.0,0.00036938604937929013,0.87031000000003,0
9,map_26,64,8,0.5,-6.499999999999996,0.0,0.0,0.0003590015071884929,0.8460100000000359,0
0,map_27,64,8,0.7,-0.13,4.0,300.0,0.0005724192063401764,0.99964,1
1,map_27,64,8,0.7,-0.11,2.0,100.0,0.0002353930613026023,0.9992800000000002,1
2,map_27,64,8,0.7,-0.99,10.0,900.0,0.0014691072671363752,0.9983800000000004,1
3,map_27,64,8,0.7,-0.71,7.333333333333333,633.3333333333333,0.002055717435377162,0.9956800000000008,1
4,map_27,64,8,0.7,-0.52,4.333333333333333,333.33333333333337,0.001581228745635599,0.9927100000000016,1
5,map_27,64,8,0.7,-2.3400000000000003,11.666666666666666,1066.6666666666665,0.001488854769644711,0.9885700000000026,1
6,map_27,64,8,0.7,-0.11,2.0,100.0,0.002063398715108633,0.9854200000000034,1
7,map_27,64,8,0.7,-0.6799999999999999,9.0,800.0,0.0019347814959473908,0.9846100000000036,1
8,map_27,64,8,0.7,-0.45999999999999996,3.5,250.0,0.0014390948927029967,0.983350000000004,1
