algo,stage_idx,config_id,config_json,size,num_agents,density,obs_radius,max_episode_steps,density_actual,LDD,BN,MC,DLR,success_rate,grid_hash,episodes_per_stage
CL-Gray3D,3,sz32_a2_d0.70,"{""max_episode_steps"":100,""size"":32,""num_agents"":2,""obs_radius"":5,""density"":0.7}",32,2,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.007985683,0.925,b6d75382fb9dd408,200
CL-Gray3D,4,sz32_a4_d0.70,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.7}",32,4,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.99,b6d75382fb9dd408,200
CL-Gray3D,5,sz32_a4_d0.50,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.5}",32,4,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.815,b6d75382fb9dd408,200
CL-Gray3D,6,sz32_a4_d0.30,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.3}",32,4,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.86,b6d75382fb9dd408,200
CL-Gray3D,7,sz32_a4_d0.10,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.1}",32,4,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.031942733990147784,0.855,b6d75382fb9dd408,200
CL-Gray3D,8,sz32_a8_d0.10,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.1}",32,8,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.81,b6d75382fb9dd408,200
CL-Gray3D,9,sz32_a8_d0.30,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.3}",32,8,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.81,b6d75382fb9dd408,200
CL-Gray3D,10,sz32_a8_d0.50,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.5}",32,8,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.93,b6d75382fb9dd408,200
CL-Gray3D,11,sz32_a8_d0.70,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.7}",32,8,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.12777093596059114,0.98,b6d75382fb9dd408,200
CL-Gray3D,12,sz32_a16_d0.70,"{""max_episode_steps"":100,""size"":32,""num_agents"":16,""obs_radius"":5,""density"":0.7}",32,16,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.5110837438423645,0.94,b6d75382fb9dd408,200
CL-Gray3D,13,sz32_a16_d0.50,"{""max_episode_steps"":100,""size"":32,""num_agents"":16,""obs_radius"":5,""density"":0.5}",32,16,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.5110837438423645,0.925,b6d75382fb9dd408,200
CL-Gray3D,14,sz32_a16_d0.30,"{""max_episode_steps"":100,""size"":32,""num_agents"":16,""obs_radius"":5,""density"":0.3}",32,16,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.5110837438423645,0.745,b6d75382fb9dd408,200
CL-Gray3D,15,sz32_a16_d0.10,"{""max_episode_steps"":100,""size"":32,""num_agents"":16,""obs_radius"":5,""density"":0.1}",32,16,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.5110837438423645,0.72,b6d75382fb9dd408,200
CL-Gray3D,16,sz64_a16_d0.10,"{""max_episode_steps"":100,""size"":64,""num_agents"":16,""obs_radius"":5,""density"":0.1}",64,16,0.1,5,100,0.15234375,0.023498701728395067,0.067396313,1,0.10743087557603687,0.72,1f09ff42da29f540,200
CL-Gray3D,17,sz64_a16_d0.30,"{""max_episode_steps"":100,""size"":64,""num_agents"":16,""obs_radius"":5,""density"":0.3}",64,16,0.3,5,100,0.34375,0.038043551,0.37686011904761907,0.034482758620689655,0.19345238095238093,0.79,ebb1e76cb79b19fb,200
CL-Gray3D,18,sz64_a16_d0.50,"{""max_episode_steps"":100,""size"":64,""num_agents"":16,""obs_radius"":5,""density"":0.5}",64,16,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.3458333333333333,0.895,b98ce8c22eb5eb2a,200
CL-Gray3D,19,sz64_a16_d0.70,"{""max_episode_steps"":100,""size"":64,""num_agents"":16,""obs_radius"":5,""density"":0.7}",64,16,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.702161164,0.97,7abb5aad47046108,200
CL-Gray3D,20,sz64_a8_d0.70,"{""max_episode_steps"":100,""size"":64,""num_agents"":8,""obs_radius"":5,""density"":0.7}",64,8,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.17554029105125976,0.99,7abb5aad47046108,200
CL-Gray3D,21,sz64_a8_d0.50,"{""max_episode_steps"":100,""size"":64,""num_agents"":8,""obs_radius"":5,""density"":0.5}",64,8,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.086458333,0.855,b98ce8c22eb5eb2a,200
CL-Gray3D,22,sz64_a8_d0.30,"{""max_episode_steps"":100,""size"":64,""num_agents"":8,""obs_radius"":5,""density"":0.3}",64,8,0.3,5,100,0.34375,0.038043551,0.37686011904761907,0.034482758620689655,0.048363095,0.855,ebb1e76cb79b19fb,200
CL-Gray3D,23,sz64_a8_d0.10,"{""max_episode_steps"":100,""size"":64,""num_agents"":8,""obs_radius"":5,""density"":0.1}",64,8,0.1,5,100,0.15234375,0.023498701728395067,0.067396313,1,0.026857718894009217,0.77,1f09ff42da29f540,200
CL-Gray3D,24,sz64_a4_d0.10,"{""max_episode_steps"":100,""size"":64,""num_agents"":4,""obs_radius"":5,""density"":0.1}",64,4,0.1,5,100,0.15234375,0.023498701728395067,0.067396313,1,0.00671443,0.835,1f09ff42da29f540,200
CL-Gray3D,25,sz64_a4_d0.30,"{""max_episode_steps"":100,""size"":64,""num_agents"":4,""obs_radius"":5,""density"":0.3}",64,4,0.3,5,100,0.34375,0.038043551,0.37686011904761907,0.034482758620689655,0.012090773809523808,0.845,ebb1e76cb79b19fb,200
CL-Gray3D,26,sz64_a4_d0.50,"{""max_episode_steps"":100,""size"":64,""num_agents"":4,""obs_radius"":5,""density"":0.5}",64,4,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.021614583333333333,0.7,b98ce8c22eb5eb2a,200
CL-Gray3D,27,sz64_a4_d0.70,"{""max_episode_steps"":100,""size"":64,""num_agents"":4,""obs_radius"":5,""density"":0.7}",64,4,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.043885073,0.99,7abb5aad47046108,200
CL-Gray3D,28,sz64_a2_d0.70,"{""max_episode_steps"":100,""size"":64,""num_agents"":2,""obs_radius"":5,""density"":0.7}",64,2,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.010971268190703735,0.985,7abb5aad47046108,200
CL-Gray3D,29,sz64_a2_d0.50,"{""max_episode_steps"":100,""size"":64,""num_agents"":2,""obs_radius"":5,""density"":0.5}",64,2,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.005403646,0.755,b98ce8c22eb5eb2a,200
CL-Gray3D,30,sz64_a2_d0.30,"{""max_episode_steps"":100,""size"":64,""num_agents"":2,""obs_radius"":5,""density"":0.3}",64,2,0.3,5,100,0.34375,0.038043551,0.37686011904761907,0.034482758620689655,0.003022693,0.74,ebb1e76cb79b19fb,200
CL-Gray3D,31,sz64_a2_d0.10,"{""max_episode_steps"":100,""size"":64,""num_agents"":2,""obs_radius"":5,""density"":0.1}",64,2,0.1,5,100,0.15234375,0.023498701728395067,0.067396313,1,0.001678607,0.76,1f09ff42da29f540,200
CL-Gray3D,32,sz96_a2_d0.10,"{""max_episode_steps"":100,""size"":96,""num_agents"":2,""obs_radius"":5,""density"":0.1}",96,2,0.1,5,100,0.1362847222222222,0.019740715,0.060301508,1,0.000707967,0.765,aff34a165045f99f,200
CL-Gray3D,33,sz96_a2_d0.30,"{""max_episode_steps"":100,""size"":96,""num_agents"":2,""obs_radius"":5,""density"":0.3}",96,2,0.3,5,100,0.3288845486111111,0.037856964,0.3516572352465643,0.011764705882352941,0.00128482,0.855,99b80bb8a5c0b1b8,200
CL-Gray3D,34,sz96_a2_d0.50,"{""max_episode_steps"":100,""size"":96,""num_agents"":2,""obs_radius"":5,""density"":0.5}",96,2,0.5,5,100,0.5194227430555556,0.042673273751880535,0.6965454955972002,0.001636661,0.00231047,0.92,504d0ab148124ead,200
CL-Gray3D,35,sz96_a2_d0.70,"{""max_episode_steps"":100,""size"":96,""num_agents"":2,""obs_radius"":5,""density"":0.7}",96,2,0.7,5,100,0.7121310763888888,0.032482242,0.9227289860535243,0.000853971,0.004728825,1,6dd0c6686c628ec1,200
CL-Gray3D,36,sz96_a4_d0.70,"{""max_episode_steps"":100,""size"":96,""num_agents"":4,""obs_radius"":5,""density"":0.7}",96,4,0.7,5,100,0.7121310763888888,0.032482242,0.9227289860535243,0.000853971,0.018915300288981026,0.845,6dd0c6686c628ec1,200
CL-Gray3D,37,sz96_a4_d0.50,"{""max_episode_steps"":100,""size"":96,""num_agents"":4,""obs_radius"":5,""density"":0.5}",96,4,0.5,5,100,0.5194227430555556,0.042673273751880535,0.6965454955972002,0.001636661,0.009241881,0.905,504d0ab148124ead,200
CL-Gray3D,38,sz96_a4_d0.30,"{""max_episode_steps"":100,""size"":96,""num_agents"":4,""obs_radius"":5,""density"":0.3}",96,4,0.3,5,100,0.3288845486111111,0.037856964,0.3516572352465643,0.011764705882352941,0.005139282,0.86,99b80bb8a5c0b1b8,200
CL-Gray3D,39,sz96_a4_d0.10,"{""max_episode_steps"":100,""size"":96,""num_agents"":4,""obs_radius"":5,""density"":0.1}",96,4,0.1,5,100,0.1362847222222222,0.019740715,0.060301508,1,0.002831868,0.72,aff34a165045f99f,200
CL-Gray3D,40,sz96_a8_d0.10,"{""max_episode_steps"":100,""size"":96,""num_agents"":8,""obs_radius"":5,""density"":0.1}",96,8,0.1,5,100,0.1362847222222222,0.019740715,0.060301508,1,0.011327470686767168,0.73,aff34a165045f99f,200
CL-Gray3D,41,sz96_a8_d0.30,"{""max_episode_steps"":100,""size"":96,""num_agents"":8,""obs_radius"":5,""density"":0.3}",96,8,0.3,5,100,0.3288845486111111,0.037856964,0.3516572352465643,0.011764705882352941,0.020557127458905956,0.75,99b80bb8a5c0b1b8,200
CL-Gray3D,42,sz96_a8_d0.50,"{""max_episode_steps"":100,""size"":96,""num_agents"":8,""obs_radius"":5,""density"":0.5}",96,8,0.5,5,100,0.5194227430555556,0.042673273751880535,0.6965454955972002,0.001636661,0.036967525,0.905,504d0ab148124ead,200
CL-Gray3D,43,sz96_a8_d0.70,"{""max_episode_steps"":100,""size"":96,""num_agents"":8,""obs_radius"":5,""density"":0.7}",96,8,0.7,5,100,0.7121310763888888,0.032482242,0.9227289860535243,0.000853971,0.075661201,0.9,6dd0c6686c628ec1,200
CL-Gray3D,44,sz96_a16_d0.70,"{""max_episode_steps"":100,""size"":96,""num_agents"":16,""obs_radius"":5,""density"":0.7}",96,16,0.7,5,100,0.7121310763888888,0.032482242,0.9227289860535243,0.000853971,0.3026448046236964,0.935,6dd0c6686c628ec1,200
CL-Gray3D,45,sz96_a16_d0.50,"{""max_episode_steps"":100,""size"":96,""num_agents"":16,""obs_radius"":5,""density"":0.5}",96,16,0.5,5,100,0.5194227430555556,0.042673273751880535,0.6965454955972002,0.001636661,0.14787009859260933,0.945,504d0ab148124ead,200
CL-Gray3D,46,sz96_a16_d0.30,"{""max_episode_steps"":100,""size"":96,""num_agents"":16,""obs_radius"":5,""density"":0.3}",96,16,0.3,5,100,0.3288845486111111,0.037856964,0.3516572352465643,0.011764705882352941,0.08222851,0.83,99b80bb8a5c0b1b8,200
CL-Gray3D,47,sz96_a16_d0.10,"{""max_episode_steps"":100,""size"":96,""num_agents"":16,""obs_radius"":5,""density"":0.1}",96,16,0.1,5,100,0.1362847222222222,0.019740715,0.060301508,1,0.045309882747068674,0.7,aff34a165045f99f,200
CL-Gray3D,48,sz128_a16_d0.10,"{""max_episode_steps"":100,""size"":128,""num_agents"":16,""obs_radius"":5,""density"":0.1}",128,16,0.1,5,100,0.127868652,0.018262853470576195,0.058646511,0.5,0.024788517391000072,0.595,c246c9caf6b422a8,200
CL-Gray3D,49,sz128_a16_d0.30,"{""max_episode_steps"":100,""size"":128,""num_agents"":16,""obs_radius"":5,""density"":0.3}",128,16,0.3,5,100,0.321960449,0.037009153,0.35457736970024306,0.006756757,0.045302514,0.745,51276f2cf6b8d8d6,200
CL-Gray3D,50,sz128_a16_d0.50,"{""max_episode_steps"":100,""size"":128,""num_agents"":16,""obs_radius"":5,""density"":0.5}",128,16,0.5,5,100,0.515380859,0.040291866644071986,0.6958438287153652,0.000925069,0.082092254,0.95,5e781ba8a5fefad1,200
CL-Gray3D,51,sz128_a16_d0.70,"{""max_episode_steps"":100,""size"":128,""num_agents"":16,""obs_radius"":5,""density"":0.7}",128,16,0.7,5,100,0.709899902,0.034723325620099596,0.9177361666316011,0.000489476,0.1685678781822007,0.97,f2ac8b4a025ada2c,200
CL-Gray3D,52,sz128_a8_d0.70,"{""max_episode_steps"":100,""size"":128,""num_agents"":8,""obs_radius"":5,""density"":0.7}",128,8,0.7,5,100,0.709899902,0.034723325620099596,0.9177361666316011,0.000489476,0.042141969545550176,0.97,f2ac8b4a025ada2c,200
CL-Gray3D,53,sz128_a8_d0.50,"{""max_episode_steps"":100,""size"":128,""num_agents"":8,""obs_radius"":5,""density"":0.5}",128,8,0.5,5,100,0.515380859,0.040291866644071986,0.6958438287153652,0.000925069,0.020523063602015112,0.9,5e781ba8a5fefad1,200
CL-Gray3D,54,sz128_a8_d0.30,"{""max_episode_steps"":100,""size"":128,""num_agents"":8,""obs_radius"":5,""density"":0.3}",128,8,0.3,5,100,0.321960449,0.037009153,0.35457736970024306,0.006756757,0.011325628,0.82,51276f2cf6b8d8d6,200
CL-Gray3D,55,sz128_a8_d0.10,"{""max_episode_steps"":100,""size"":128,""num_agents"":8,""obs_radius"":5,""density"":0.1}",128,8,0.1,5,100,0.127868652,0.018262853470576195,0.058646511,0.5,0.006197129,0.66,c246c9caf6b422a8,200
CL-Gray3D,56,sz128_a4_d0.10,"{""max_episode_steps"":100,""size"":128,""num_agents"":4,""obs_radius"":5,""density"":0.1}",128,4,0.1,5,100,0.127868652,0.018262853470576195,0.058646511,0.5,0.001549282,0.72,c246c9caf6b422a8,200
CL-Gray3D,57,sz128_a4_d0.30,"{""max_episode_steps"":100,""size"":128,""num_agents"":4,""obs_radius"":5,""density"":0.3}",128,4,0.3,5,100,0.321960449,0.037009153,0.35457736970024306,0.006756757,0.002831407,0.76,51276f2cf6b8d8d6,200
CL-Gray3D,58,sz128_a4_d0.50,"{""max_episode_steps"":100,""size"":128,""num_agents"":4,""obs_radius"":5,""density"":0.5}",128,4,0.5,5,100,0.515380859,0.040291866644071986,0.6958438287153652,0.000925069,0.005130766,0.98,5e781ba8a5fefad1,200
CL-Gray3D,59,sz128_a4_d0.70,"{""max_episode_steps"":100,""size"":128,""num_agents"":4,""obs_radius"":5,""density"":0.7}",128,4,0.7,5,100,0.709899902,0.034723325620099596,0.9177361666316011,0.000489476,0.010535492386387544,1,f2ac8b4a025ada2c,200
CL-Gray3D,60,sz128_a2_d0.70,"{""max_episode_steps"":100,""size"":128,""num_agents"":2,""obs_radius"":5,""density"":0.7}",128,2,0.7,5,100,0.709899902,0.034723325620099596,0.9177361666316011,0.000489476,0.002633873,1,f2ac8b4a025ada2c,200
CL-Gray3D,61,sz128_a2_d0.50,"{""max_episode_steps"":100,""size"":128,""num_agents"":2,""obs_radius"":5,""density"":0.5}",128,2,0.5,5,100,0.515380859,0.040291866644071986,0.6958438287153652,0.000925069,0.001282691,0.915,5e781ba8a5fefad1,200
CL-Gray3D,62,sz128_a2_d0.30,"{""max_episode_steps"":100,""size"":128,""num_agents"":2,""obs_radius"":5,""density"":0.3}",128,2,0.3,5,100,0.321960449,0.037009153,0.35457736970024306,0.006756757,0.000707852,0.73,51276f2cf6b8d8d6,200
CL-Gray3D,63,sz128_a2_d0.10,"{""max_episode_steps"":100,""size"":128,""num_agents"":2,""obs_radius"":5,""density"":0.1}",128,2,0.1,5,100,0.127868652,0.018262853470576195,0.058646511,0.5,0.000387321,0.73,c246c9caf6b422a8,200
